State Code,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Vehicle Class,Vehicle Size
OK,No,Premium,Bachelor,Employed,F,Suburban,Married,0,2,Personal Auto,Personal L3,Collision,Agent,Two-Door Car,Medsize
IA,Yes,Basic,Bachelor,Employed,F,Rural,Married,0,2,Personal Auto,Personal L3,Hail,Web,Two-Door Car,Medsize
IA,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,0,2,Corporate Auto,Corporate L3,Collision,Agent,Four-Door Car,Medsize
MO,No,Basic,College,Unemployed,F,Suburban,Married,0,3,Personal Auto,Personal L3,Hail,Agent,SUV,Medsize
MO,No,Basic,College,Employed,M,Urban,Single,2,8,Corporate Auto,Corporate L3,Other,Call Center,Four-Door Car,Medsize
MO,No,Basic,College,Medical Leave,M,Suburban,Married,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,SUV,Medsize
IA,No,Basic,High School or Below,Employed,M,Suburban,Single,0,1,Personal Auto,Personal L2,Collision,Branch,Two-Door Car,Medsize
OK,No,Basic,Bachelor,Unemployed,F,Suburban,Single,3,1,Corporate Auto,Corporate L3,Collision,Branch,Four-Door Car,Medsize
MO,No,Premium,Bachelor,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Small
IA,No,Extended,Master,Employed,F,Suburban,Married,1,1,Personal Auto,Personal L3,Hail,Branch,Four-Door Car,Small
MO,No,Basic,Bachelor,Unemployed,M,Urban,Married,0,3,Personal Auto,Personal L3,Collision,Call Center,Four-Door Car,Medsize
NE,No,Basic,High School or Below,Employed,F,Urban,Married,0,6,Personal Auto,Personal L1,Collision,Branch,Four-Door Car,Medsize
IA,No,Extended,Bachelor,Unemployed,M,Suburban,Single,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,Two-Door Car,Small
IA,Yes,Basic,College,Employed,F,Rural,Single,0,1,Corporate Auto,Corporate L3,Hail,Agent,Two-Door Car,Medsize
KS,No,Basic,College,Employed,M,Suburban,Married,0,1,Special Auto,Special L2,Hail,Call Center,Four-Door Car,Large
IA,No,Basic,High School or Below,Employed,F,Suburban,Single,0,4,Personal Auto,Personal L2,Other,Agent,Two-Door Car,Medsize
IA,No,Basic,College,Employed,M,Suburban,Married,0,2,Personal Auto,Personal L2,Collision,Agent,SUV,Small
KS,No,Basic,Bachelor,Employed,M,Suburban,Single,0,3,Personal Auto,Personal L3,Other,Agent,Four-Door Car,Medsize
MO,No,Basic,College,Employed,M,Urban,Married,0,2,Special Auto,Special L2,Hail,Branch,Four-Door Car,Medsize
IA,No,Premium,Master,Disabled,F,Suburban,Divorced,0,1,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Medsize
IA,No,Extended,Bachelor,Unemployed,M,Suburban,Single,0,1,Personal Auto,Personal L3,Collision,Agent,Two-Door Car,Small
KS,No,Basic,College,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L3,Scratch/Dent,Web,Four-Door Car,Medsize
IA,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,0,5,Personal Auto,Personal L3,Collision,Call Center,Two-Door Car,Large
IA,No,Basic,Master,Employed,M,Rural,Married,0,1,Personal Auto,Personal L2,Hail,Web,Two-Door Car,Large
IA,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,3,9,Personal Auto,Personal L3,Hail,Branch,Two-Door Car,Medsize
OK,No,Basic,College,Employed,M,Suburban,Married,0,2,Personal Auto,Personal L1,Hail,Agent,Four-Door Car,Medsize
MO,No,Extended,College,Unemployed,F,Rural,Single,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Large
OK,No,Basic,Master,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L3,Hail,Call Center,Four-Door Car,Large
MO,Yes,Extended,College,Retired,M,Suburban,Married,5,5,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Medsize
MO,Yes,Extended,College,Employed,M,Suburban,Married,1,4,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Medsize
IA,No,Basic,Bachelor,Employed,F,Rural,Married,0,1,Corporate Auto,Corporate L3,Collision,Agent,Four-Door Car,Medsize
IA,No,Basic,Bachelor,Employed,F,Suburban,Married,1,2,Personal Auto,Personal L3,Collision,Branch,Four-Door Car,Large
NE,No,Basic,Bachelor,Employed,F,Urban,Married,3,9,Personal Auto,Personal L1,Scratch/Dent,Web,Four-Door Car,Medsize
MO,Yes,Basic,College,Unemployed,M,Suburban,Single,0,1,Personal Auto,Personal L1,Collision,Branch,Four-Door Car,Medsize
MO,No,Extended,High School or Below,Unemployed,F,Suburban,Single,0,4,Personal Auto,Personal L3,Collision,Web,SUV,Medsize
IA,No,Basic,High School or Below,Unemployed,M,Suburban,Married,1,3,Personal Auto,Personal L1,Collision,Agent,SUV,Medsize
MO,No,Extended,College,Employed,M,Suburban,Married,0,7,Personal Auto,Personal L3,Other,Agent,Four-Door Car,Small
IA,No,Basic,Bachelor,Employed,M,Suburban,Single,2,2,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
IA,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,0,1,Personal Auto,Personal L3,Hail,Agent,SUV,Medsize
MO,No,Extended,College,Employed,F,Urban,Married,2,1,Corporate Auto,Corporate L2,Hail,Call Center,Four-Door Car,Medsize
IA,No,Basic,High School or Below,Employed,F,Suburban,Married,0,7,Personal Auto,Personal L3,Scratch/Dent,Branch,Two-Door Car,Small
IA,No,Premium,College,Employed,M,Suburban,Divorced,1,2,Personal Auto,Personal L2,Collision,Call Center,Four-Door Car,Medsize
IA,Yes,Basic,College,Retired,M,Suburban,Divorced,0,2,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Medsize
OK,No,Basic,Bachelor,Employed,F,Rural,Married,0,8,Special Auto,Special L2,Collision,Branch,Four-Door Car,Medsize
NE,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,2,Corporate Auto,Corporate L2,Collision,Web,Four-Door Car,Small
KS,No,Basic,College,Unemployed,F,Suburban,Single,0,1,Personal Auto,Personal L2,Hail,Agent,Four-Door Car,Small
IA,No,Basic,College,Unemployed,M,Suburban,Single,0,1,Personal Auto,Personal L1,Other,Web,Two-Door Car,Large
KS,No,Premium,High School or Below,Employed,M,Suburban,Married,0,1,Corporate Auto,Corporate L3,Scratch/Dent,Agent,SUV,Medsize
MO,No,Basic,College,Unemployed,F,Suburban,Married,0,2,Corporate Auto,Corporate L3,Collision,Call Center,Four-Door Car,Medsize
IA,Yes,Premium,College,Unemployed,M,Suburban,Married,0,1,Corporate Auto,Corporate L2,Collision,Branch,Four-Door Car,Large
NE,No,Extended,High School or Below,Disabled,M,Suburban,Married,0,1,Personal Auto,Personal L3,Other,Agent,SUV,Medsize
MO,No,Basic,High School or Below,Employed,M,Suburban,Married,0,1,Personal Auto,Personal L2,Hail,Web,Four-Door Car,Small
NE,Yes,Basic,College,Retired,M,Suburban,Married,0,1,Personal Auto,Personal L3,Hail,Agent,Sports Car,Medsize
KS,No,Basic,College,Employed,F,Urban,Married,0,1,Personal Auto,Personal L1,Collision,Agent,SUV,Medsize
MO,No,Extended,Bachelor,Unemployed,M,Suburban,Single,2,2,Personal Auto,Personal L3,Collision,Agent,Four-Door Car,Medsize
MO,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,1,7,Personal Auto,Personal L1,Collision,Agent,Four-Door Car,Small
MO,No,Basic,College,Medical Leave,M,Suburban,Married,0,1,Personal Auto,Personal L1,Other,Branch,Four-Door Car,Medsize
OK,No,Basic,College,Unemployed,F,Suburban,Married,3,1,Personal Auto,Personal L2,Scratch/Dent,Agent,Four-Door Car,Small
KS,No,Basic,College,Employed,F,Rural,Married,0,1,Personal Auto,Personal L2,Hail,Agent,SUV,Medsize
MO,No,Basic,Bachelor,Employed,F,Suburban,Divorced,0,1,Personal Auto,Personal L2,Hail,Call Center,Sports Car,Small
IA,No,Basic,High School or Below,Employed,M,Suburban,Married,0,3,Personal Auto,Personal L2,Hail,Branch,Four-Door Car,Large
MO,No,Basic,High School or Below,Employed,F,Suburban,Single,4,2,Personal Auto,Personal L3,Scratch/Dent,Call Center,SUV,Small
MO,No,Extended,Bachelor,Employed,F,Urban,Single,0,1,Personal Auto,Personal L1,Scratch/Dent,Branch,Four-Door Car,Medsize
MO,No,Basic,High School or Below,Unemployed,F,Suburban,Single,0,1,Special Auto,Special L3,Other,Branch,Two-Door Car,Small
NE,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,0,2,Personal Auto,Personal L2,Collision,Branch,Four-Door Car,Small
IA,No,Basic,Bachelor,Employed,M,Rural,Single,2,1,Special Auto,Special L3,Collision,Branch,Four-Door Car,Medsize
MO,No,Premium,Master,Disabled,F,Suburban,Single,0,3,Personal Auto,Personal L1,Collision,Call Center,SUV,Medsize
MO,No,Basic,College,Unemployed,M,Suburban,Single,0,7,Personal Auto,Personal L2,Collision,Agent,SUV,Medsize
MO,No,Basic,College,Employed,F,Urban,Married,0,1,Personal Auto,Personal L1,Hail,Branch,Four-Door Car,Medsize
KS,No,Extended,Bachelor,Employed,F,Rural,Married,0,3,Personal Auto,Personal L3,Scratch/Dent,Web,Four-Door Car,Medsize
KS,No,Extended,College,Employed,M,Urban,Married,0,2,Corporate Auto,Corporate L3,Hail,Web,Two-Door Car,Small
