Station.Number	General.Location	North.Latitude	West.Longitude	Size
657	Rio Vista	38151	121688	5
649	Sacramento River	38060	121800	6
2	Chain Island	38063	121851	7
3	Pittsburg	38051	121880	15
4	Simmons Point	38043	121935	2
5	Middle Ground	38060	121980	4
6	Roe Island	38065	122035	7
7	Avon Pier	38048	122096	3
8	Martinez	38030	122151	2
9	Benicia	38054	122185	4
10	Crockett	38060	122208	6
11	Mare Island	38060	122266	4
12	Pinole Shoal	38051	122311	3
13	N, of Pinole Point	38028	122370	8
14	"""Echo"" Buoy"	38007	122405	6
15	Point San Pablo	37973	122436	4
16	"""Charlie"" Buoy"	37910	122446	3
17	Raccoon Strait	37878	122421	9
18	Point Blunt	37846	122421	8
20	Blossom Rock	37820	122393	3
21	Bay Bridge	37788	122358	5
22	Potrero Point	37765	122358	3
23	Hunter's Point	37728	122337	2
24	Candlestick Point	37698	122336	1
25	Oyster Point	37670	122325	4
26	San Bruno Shoal	37636	122313	6
27	San Francisco Airport	37618	122291	7
28	N, of San Mateo Bridge	37601	122270	4
29	S, of San Mateo Bridge	37580	122245	6
30	Redwood Creek	37555	122190	7
31	Coyote Hills	37528	122158	9
32	Ravenswood Point	37518	122133	8
33	Dumbarton Bridge	37508	122121	7
34	Newark Slough*	37504	122099	6
35	Mowry Slough	37480	122078	5
36	Calaveras Point	37471	122067	4
